,category,price
655,Groceries,576.0
656,Groceries,928.0
657,Groceries,912.0
658,Covid-19 Safety Gears,416.0
659,Covid-19 Safety Gears,200.0
660,Covid-19 Safety Gears,200.0
661,Covid-19 Safety Gears,200.0
662,Covid-19 Safety Gears,200.0
663,Covid-19 Safety Gears,200.0
664,Covid-19 Safety Gears,200.0
665,Covid-19 Safety Gears,200.0
666,Covid-19 Safety Gears,200.0
667,Covid-19 Safety Gears,200.0
668,Covid-19 Safety Gears,200.0
669,Groceries,928.0
670,Groceries,928.0
671,Groceries,1560.0
672,Groceries,1560.0
673,Groceries,1984.0
674,Hygiene & Cleaning Essentials,1995.0
675,Hygiene & Cleaning Essentials,1619.0
676,Hygiene & Cleaning Essentials,112.0
677,Hygiene & Cleaning Essentials,112.0
678,Hygiene & Cleaning Essentials,56.0
679,Dry & Packaged Food ,580.0
680,Covid-19 Safety Gears,200.0
681,Covid-19 Safety Gears,200.0
682,Covid-19 Safety Gears,200.0
683,Covid-19 Safety Gears,200.0
684,Covid-19 Safety Gears,200.0
685,Covid-19 Safety Gears,200.0
686,Covid-19 Safety Gears,200.0
687,Covid-19 Safety Gears,200.0
688,Covid-19 Safety Gears,200.0
689,Covid-19 Safety Gears,200.0
690,Covid-19 Safety Gears,200.0
691,Dry & Packaged Food ,1090.0
692,Kid's Hygiene,1100.0
693,Hygiene Essentials,550.0
694,Kid's Hygiene,1300.0
695,Hygiene & Cleaning Essentials,490.0
696,Kid's Hygiene,650.0
697,Cooking Essentials ,475.0
698,Organic Products,1170.0
699,Organic Products,2400.0
700,Organic Products,620.0
701,Organic Products,620.0
702,Covid-19 Safety Gears,200.0
703,Covid-19 Safety Gears,200.0
704,Covid-19 Safety Gears,200.0
705,Covid-19 Safety Gears,200.0
706,Covid-19 Safety Gears,200.0
707,Covid-19 Safety Gears,200.0
708,Covid-19 Safety Gears,200.0
709,Covid-19 Safety Gears,200.0
710,Covid-19 Safety Gears,200.0
711,Covid-19 Safety Gears,200.0
712,Covid-19 Safety Gears,200.0
713,Cooking Essentials ,420.0
714,Cooking Essentials ,450.0
715,Cooking Essentials ,550.0
